# required packages for NextFerretOS.
g++-14/stable,now 14.2.0-19 amd64 [installed,automatic]
g++-x86-64-linux-gnu/stable,now 4:14.2.0-1 amd64 [installed,automatic]
g++/stable,now 4:14.2.0-1 amd64 [installed,automatic]
gawk/stable,now 1:5.2.1-2+b1 amd64 [installed]
gcc-14-base/stable,now 14.2.0-19 amd64 [installed]
gcc-14-x86-64-linux-gnu/stable,now 14.2.0-19 amd64 [installed,automatic]
gcc-14/stable,now 14.2.0-19 amd64 [installed,automatic]
gcc-x86-64-linux-gnu/stable,now 4:14.2.0-1 amd64 [installed,automatic]
gcc/stable,now 4:14.2.0-1 amd64 [installed,automatic]
gcr4/stable,now 4.4.0.1-3 amd64 [installed,automatic]
gcr/stable,now 3.41.2-3 amd64 [installed,automatic]
gdb/stable,now 16.3-1 amd64 [installed,automatic]
genisoimage/stable,now 9:1.1.11-4 amd64 [installed]
gettext-base/stable,now 0.23.1-2 amd64 [installed,automatic]
ghostscript/stable,stable-security,now 10.05.1~dfsg-1+deb13u1 amd64 [installed,automatic]
gir1.2-girepository-2.0/stable,now 1.84.0-1 amd64 [installed,automatic]
gir1.2-glib-2.0/stable,now 2.84.4-3~deb13u2 amd64 [installed,automatic]
git-man/stable,now 1:2.47.3-0+deb13u1 all [installed,automatic]
git/stable,now 1:2.47.3-0+deb13u1 amd64 [installed]
glib-networking-common/stable,now 2.80.1-1 all [installed,automatic]
glib-networking-services/stable,now 2.80.1-1 amd64 [installed,automatic]
glib-networking/stable,now 2.80.1-1 amd64 [installed,automatic]
gnome-keyring-pkcs11/stable,now 48.0-1 amd64 [installed,automatic]
gnome-keyring/stable,now 48.0-1 amd64 [installed,automatic]
gnome-themes-extra-data/stable,now 3.28-4 all [installed,automatic]
gnupg-l10n/stable,now 2.4.7-21+deb13u1 all [installed,automatic]
gnupg-utils/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gnupg/stable,now 2.4.7-21+deb13u1 all [installed,automatic]
gnustep-base-common/stable,now 1.31.1-3 all [installed,automatic]
gnustep-base-runtime/stable,now 1.31.1-3 amd64 [installed,automatic]
gnustep-common/stable,now 2.9.3-6 amd64 [installed,automatic]
gnustep-multiarch/stable,now 2.9.3-6 amd64 [installed,automatic]
gnutls-bin/stable,now 3.8.9-3+deb13u1 amd64 [installed,automatic]
gpg-agent/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpg-wks-client/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpg/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpgconf/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpgsm/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
gpgv/stable,now 2.4.7-21+deb13u1+b1 amd64 [installed,automatic]
graphviz/stable,now 2.42.4-3 amd64 [installed,automatic]
grep/stable,now 3.11-4 amd64 [installed]
groff-base/stable,now 1.23.0-9 amd64 [installed,automatic]
grub-common/stable,now 2.12-9 amd64 [installed]
grub-efi-amd64-bin/stable,now 2.12-9 amd64 [installed]
grub-efi-amd64-signed/stable,now 1+2.12+9 amd64 [installed,automatic]
grub-efi-amd64-unsigned/stable,now 2.12-9 amd64 [installed,automatic]
grub-pc-bin/stable,now 2.12-9 amd64 [installed]
grub2-common/stable,now 2.12-9 amd64 [installed,automatic]
gsettings-desktop-schemas/stable,now 48.0-1 all [installed,automatic]
gstreamer1.0-gl/stable,now 1.26.2-1 amd64 [installed,automatic]
gstreamer1.0-plugins-base/stable,now 1.26.2-1 amd64 [installed,automatic]
gstreamer1.0-plugins-good/stable,now 1.26.2-1 amd64 [installed,automatic]
gstreamer1.0-x/stable,now 1.26.2-1 amd64 [installed,automatic]
gtk-update-icon-cache/stable,now 4.18.6+ds-2 amd64 [installed,automatic]
gtk2-engines-pixbuf/stable,now 2.24.33-7 amd64 [installed,automatic]
gwenview-doc/stable,now 4:25.04.3-1 all [installed,automatic]
gwenview/stable,now 4:25.04.3-1 amd64 [installed,automatic]
gzip/stable,now 1.13-1 amd64 [installed]
hicolor-icon-theme/stable,now 0.18-2 all [installed,automatic]
hostname/stable,now 3.25 amd64 [installed]
hunspell-en-us/stable,now 1:2020.12.07-4 all [installed,automatic]
ibus-data/stable,now 1.5.32-2 all [installed,automatic]
ifupdown/stable,now 0.8.44 amd64 [installed]
imagemagick-7-common/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 all [installed,automatic]
imagemagick-7.q16/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 amd64 [installed,automatic]
imagemagick/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 amd64 [installed,automatic]
init-system-helpers/stable,now 1.69~deb13u1 all [installed]
init/stable,now 1.69~deb13u1 amd64 [installed]
initramfs-tools-bin/stable,now 0.148.3 amd64 [installed,automatic]
initramfs-tools-core/stable,now 0.148.3 all [installed,automatic]
initramfs-tools/stable,now 0.148.3 all [installed,automatic]
inotify-tools/stable,now 4.23.9.0-2+b1 amd64 [installed]
install-info/stable,now 7.1.1-1+b1 amd64 [installed,automatic]
intel-microcode/stable,now 3.20251111.1~deb13u1 amd64 [installed,automatic]
iproute2/stable,now 6.15.0-1 amd64 [installed]
iputils-ping/stable,now 3:20240905-3 amd64 [installed]
isa-support/stable,now 27 amd64 [installed,automatic]
iso-codes/stable,now 4.18.0-1 all [installed,automatic]
iucode-tool/stable,now 2.3.1-3 amd64 [installed,automatic]
javascript-common/stable,now 12+nmu1 all [installed,automatic]
jq/stable,now 1.7.1-6+deb13u1 amd64 [installed,automatic]
juk/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kaccounts-providers/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kactivitymanagerd/stable,now 6.3.4-1 amd64 [installed,automatic]
kaddressbook-data/stable,now 4:24.12.3-1 all [installed,automatic]
kaddressbook/stable,now 4:24.12.3-1 amd64 [installed,automatic]
kalendarac/stable,now 4:24.12.3-1 amd64 [installed,automatic]
kamera/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kate-data/stable,now 4:25.04.3-2 all [installed,automatic]
kate/stable,now 4:25.04.3-2 amd64 [installed,automatic]
kcalc/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kde-baseapps/stable,now 4:24.12.0+5.162 amd64 [installed,automatic]
kde-cli-tools-data/stable,now 4:6.3.4-1 all [installed,automatic]
kde-cli-tools/stable,now 4:6.3.4-1 amd64 [installed,automatic]
kde-config-gtk-style/stable,now 4:6.3.4-1 amd64 [installed,automatic]
kde-config-screenlocker/stable,now 6.3.5-1 amd64 [installed,automatic]
kde-config-sddm/stable,now 4:6.3.4-4 amd64 [installed,automatic]
kde-config-updates/stable,now 6.3.6-1 amd64 [installed,automatic]
kde-inotify-survey/stable,now 25.04.0-1 amd64 [installed,automatic]
kde-plasma-desktop/stable,now 5:162 amd64 [installed,automatic]
kde-spectacle/stable,now 4:6.3.5-2 amd64 [installed,automatic]
kde-standard/stable,now 5:162 amd64 [installed]
kde-style-breeze-data/stable,now 4:6.3.5-1 all [installed,automatic]
kde-style-breeze-qt5/stable,now 4:6.3.5-1 amd64 [installed,automatic]
kde-style-breeze/stable,now 4:6.3.5-1 amd64 [installed,automatic]
kdeconnect-libs/stable,stable-security,now 25.04.2-1+deb13u1 amd64 [installed,automatic]
kdeconnect/stable,stable-security,now 25.04.2-1+deb13u1 amd64 [installed,automatic]
kded5/stable,now 5.116.0-1 amd64 [installed,automatic]
kded6/stable,now 6.13.0-1 amd64 [installed,automatic]
kdegraphics-thumbnailers/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kdenetwork-filesharing/stable,now 4:25.04.3-1 amd64 [installed,automatic]
kdepim-addons/stable,now 24.12.3-1 amd64 [installed,automatic]
kdepim-runtime/stable,now 4:24.12.3-1 amd64 [installed,automatic]
kdepim-themeeditors/stable,now 4:24.12.3-1 amd64 [installed,automatic]
kdeplasma-addons-data/stable,now 4:6.3.5-1 all [installed,automatic]
kdialog/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kdoctools6/stable,now 6.13.0-1 amd64 [installed,automatic]
keditbookmarks/stable,now 25.04.0-1 amd64 [installed,automatic]
keyboard-configuration/stable,now 1.242~deb13u1 all [installed,automatic]
kf6-breeze-icon-theme/stable,now 6.13.0-3 all [installed,automatic]
kfind/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kgamma/stable,now 6.3.4-1 amd64 [installed,automatic]
kglobalacceld/stable,now 6.3.6-1 amd64 [installed,automatic]
khelpcenter-data/stable,now 4:25.04.0-1 all [installed,automatic]
khelpcenter/stable,now 4:25.04.0-1 amd64 [installed,automatic]
kimageformat6-plugins/stable,now 6.13.0-2 amd64 [installed,automatic]
kinfocenter/stable,now 4:6.3.6-1 amd64 [installed,automatic]
kio-extras-data/stable,now 4:25.04.3-1 all [installed,automatic]
kio-extras/stable,now 4:25.04.3-1 amd64 [installed,automatic]
kio-fuse/stable,now 5.1.0-1+b1 amd64 [installed,automatic]
kio-ldap/stable,now 24.12.3-1 amd64 [installed,automatic]
kio6/stable,now 6.13.0-6 amd64 [installed,automatic]
kio/stable,now 5.116.0-1 amd64 [installed,automatic]
kirigami-addons-data/stable,now 1.7.0-1 all [installed,automatic]
klibc-utils/stable,now 2.0.14-1 amd64 [installed,automatic]
kmail/stable,now 4:24.12.3-1 amd64 [installed,automatic]
kmailtransport-plugins/stable,now 24.12.3-1 amd64 [installed,automatic]
kmenuedit/stable,now 4:6.3.4-2 amd64 [installed,automatic]
kmod/stable,now 34.2-2 amd64 [installed]
konq-plugins/stable,now 4:25.04.0-1 amd64 [installed,automatic]
konqueror-data/stable,now 4:25.04.0-1 all [installed,automatic]
konqueror-doc/stable,now 4:25.04.0-1 all [installed,automatic]
konqueror/stable,now 4:25.04.0-1 amd64 [installed,automatic]
konsole-kpart/stable,now 4:25.04.2-1 amd64 [installed,automatic]
konsole/stable,now 4:25.04.2-1 amd64 [installed,automatic]
korganizer/stable,now 4:24.12.3-1 amd64 [installed,automatic]
kpackagetool6/stable,now 6.13.0-1 amd64 [installed,automatic]
kscreen/stable,now 4:6.3.6-1 amd64 [installed,automatic]
ksshaskpass/stable,now 4:6.3.4-1 amd64 [installed,automatic]
ksystemstats/stable,now 6.3.4-1 amd64 [installed,automatic]
kup-backup/stable,now 0.10.0-1+b1 amd64 [installed,automatic]
kwallet6/stable,now 6.13.0-1 amd64 [installed,automatic]
