# required packages for NextFerretOS.
libkf6configwidgets6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6contacts-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6contacts6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6coreaddons-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6coreaddons6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6crash6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6dav-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6dav6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6dbusaddons-bin/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6dbusaddons-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6dbusaddons6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6declarative-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6dnssd-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6dnssd6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6doctools6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6filemetadata-bin/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6filemetadata-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6filemetadata3/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6globalaccel-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6globalaccel6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6guiaddons-bin/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6guiaddons-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6guiaddons6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6holidays-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6holidays6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6i18n-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6i18n6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6i18nlocaledata6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6i18nqml6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6iconthemes-bin/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6iconthemes-data/stable,now 6.13.0-2 all [installed,automatic]
libkf6iconthemes6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6iconwidgets6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6idletime6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6itemmodels6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6itemviews-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6itemviews6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6jobwidgets-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6jobwidgets6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6kcmutils-bin/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6kcmutils-data/stable,now 6.13.0-2 all [installed,automatic]
libkf6kcmutils6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6kcmutilscore6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6kcmutilsquick6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6kiocore6/stable,now 6.13.0-6 amd64 [installed,automatic]
libkf6kiofilewidgets6/stable,now 6.13.0-6 amd64 [installed,automatic]
libkf6kiogui6/stable,now 6.13.0-6 amd64 [installed,automatic]
libkf6kiowidgets6/stable,now 6.13.0-6 amd64 [installed,automatic]
libkf6konq7/stable,now 4:25.04.0-1 amd64 [installed,automatic]
libkf6konqsettings7/stable,now 4:25.04.0-1 amd64 [installed,automatic]
libkf6modemmanagerqt6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6networkmanagerqt6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6newstuff-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6newstuffcore6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6newstuffwidgets6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6notifications-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6notifications6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6notifyconfig-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6notifyconfig6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6package-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6package6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6parts-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6parts6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6people-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6people6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6peoplebackend6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6prison6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6prisonscanner6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6pty-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6pty6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6pulseaudioqt5/stable,now 1.7.0-1 amd64 [installed,automatic]
libkf6purpose-bin/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6purpose-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6purpose6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6purposewidgets6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6qqc2desktopstyle-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6runner6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6screen8/stable,now 4:6.3.4-1 amd64 [installed,automatic]
libkf6screendpms8/stable,now 4:6.3.4-1 amd64 [installed,automatic]
libkf6service-bin/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6service-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6service6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6solid-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6solid6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6sonnet-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6sonnetcore6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6sonnetui6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6statusnotifieritem-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6statusnotifieritem6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6style6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6su-bin/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6su-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6su6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6svg6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6syndication6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6syntaxhighlighting-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6syntaxhighlighting6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6textaddonswidgets1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textautocorrectioncore1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textautocorrectionwidgets1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textcustomeditor1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6texteditor-bin/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6texteditor-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6texteditor-katepart/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6texteditor6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6textedittexttospeech1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textemoticonscore1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textemoticonswidgets1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textgrammarcheck1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6texttemplate6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6texttranslator1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textutils1/stable,now 1.5.4-4 amd64 [installed,automatic]
libkf6textwidgets-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6textwidgets6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6threadweaver6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6unitconversion-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6unitconversion6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6userfeedback-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6userfeedback-doc/stable,now 6.13.0-1 all [installed,automatic]
libkf6userfeedbackcore6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6userfeedbackwidgets6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6wallet-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6wallet6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6walletbackend6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6widgetsaddons-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6widgetsaddons6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkf6windowsystem-data/stable,now 6.13.0-2 all [installed,automatic]
libkf6windowsystem6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkf6xmlgui-data/stable,now 6.13.0-1 all [installed,automatic]
libkf6xmlgui6/stable,now 6.13.0-1 amd64 [installed,automatic]
libkfontinst6/stable,now 4:6.3.6-2 amd64 [installed,automatic]
libkfontinstui6/stable,now 4:6.3.6-2 amd64 [installed,automatic]
libkgantt-l10n/stable,now 3.0.1-4 all [installed,automatic]
libkgantt6-3/stable,now 3.0.1-4 amd64 [installed,automatic]
libkgapi-data/stable,now 24.12.3-1 all [installed,automatic]
libkglobalacceld0/stable,now 6.3.6-1 amd64 [installed,automatic]
libkimageannotator-common/stable,now 0.7.1-1 all [installed,automatic]
libkimageannotator-qt6-0/stable,now 0.7.1-1+b2 amd64 [installed,automatic]
libkimap-data/stable,now 24.12.3-1 all [installed,automatic]
libkirigami-data/stable,now 6.13.0-2 all [installed,automatic]
libkirigami6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkirigamidelegates6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkirigamidialogs6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkirigamilayouts6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkirigamiplatform6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkirigamiprimitives6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkirigamiprivate6/stable,now 6.13.0-2 amd64 [installed,automatic]
libkitinerary-data/stable,now 24.12.3-1 all [installed,automatic]
libkldap-data/stable,now 24.12.3-1 all [installed,automatic]
libkleo-data/stable,now 4:24.12.3-3 all [installed,automatic]
libklibc/stable,now 2.0.14-1 amd64 [installed,automatic]
libklipper6/stable,now 4:6.3.6-2 amd64 [installed,automatic]
libkmailtransport-data/stable,now 24.12.3-1 all [installed,automatic]
libkmime-data/stable,now 24.12.3-1 all [installed,automatic]
libkmod2/stable,now 34.2-2 amd64 [installed]
libkmpris6/stable,now 4:6.3.6-2 amd64 [installed,automatic]
libkolabxml1v5/stable,now 1.2.1-5+b6 amd64 [installed,automatic]
libkontactinterface-data/stable,now 24.12.3-1 all [installed,automatic]
libkpim6addressbookimportexport6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadiagentbase6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadicalendar6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadicontactcore6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadicontactwidgets6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadicore6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadimime6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadiprivate6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadisearchcore6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadisearchdebug6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadisearchpim6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadisearchxapian6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6akonadiwidgets6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6calendarsupport6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6calendarutils6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6eventviews6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6gapicalendar6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6gapicore6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6gapipeople6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6gapitasks6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6grantleetheme6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6gravatar6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6identitymanagementcore6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6identitymanagementwidgets6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6imap6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6importwizard6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6incidenceeditor6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6itinerary6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6kmanagesieve6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6kontactinterface6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6ksieve6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6ksievecore6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6ksieveui6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6ldapcore6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6ldapwidgets6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6libkdepim6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6libkleo6/stable,now 4:24.12.3-3 amd64 [installed,automatic]
libkpim6mailcommon6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6mailimporter6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6mailimporterakonadi6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6mailtransport6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6mbox6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6messagecomposer6/stable,now 4:24.12.3-4 amd64 [installed,automatic]
libkpim6messagecore6/stable,now 4:24.12.3-4 amd64 [installed,automatic]
libkpim6messagelist6/stable,now 4:24.12.3-4 amd64 [installed,automatic]
libkpim6messageviewer6/stable,now 4:24.12.3-4 amd64 [installed,automatic]
libkpim6mime6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6mimetreeparser6/stable,now 4:24.12.3-4 amd64 [installed,automatic]
libkpim6pimcommon6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6pimcommonactivities6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6pimcommonakonadi6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6pkpass6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6smtp6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6templateparser6/stable,now 4:24.12.3-4 amd64 [installed,automatic]
libkpim6textedit6/stable,now 24.12.3-1 amd64 [installed,automatic]
libkpim6tnef6/stable,now 4:24.12.3-1 amd64 [installed,automatic]
libkpim6webengineviewer6/stable,now 4:24.12.3-4 amd64 [installed,automatic]
libkpimtextedit-data/stable,now 24.12.3-1 all [installed,automatic]
libkpipewire-data/stable,now 6.3.6-1 all [installed,automatic]
libkpipewire6/stable,now 6.3.6-1 amd64 [installed,automatic]
libkpipewiredmabuf6/stable,now 6.3.6-1 amd64 [installed,automatic]
libkpipewirerecord6/stable,now 6.3.6-1 amd64 [installed,automatic]
libkpmcore12/stable,now 24.12.3-2 amd64 [installed,automatic]
libkrb5-3/stable,now 1.21.3-5 amd64 [installed]
libkrb5support0/stable,now 1.21.3-5 amd64 [installed]
libksba8/stable,now 1.6.7-2+b1 amd64 [installed,automatic]
libkscreen-bin/stable,now 4:6.3.4-1 amd64 [installed,automatic]
libkscreen-data/stable,now 4:6.3.4-1 all [installed,automatic]
libkscreenlocker6/stable,now 6.3.5-1 amd64 [installed,automatic]
libksieve-data/stable,now 4:24.12.3-1 all [installed,automatic]
libksmtp-data/stable,now 24.12.3-1 all [installed,automatic]
libksysguard-bin/stable,now 4:6.3.5-1 amd64 [installed,automatic]
libksysguard-data/stable,now 4:6.3.5-1 all [installed,automatic]
libksysguardformatter2/stable,now 4:6.3.5-1 amd64 [installed,automatic]
libksysguardsensorfaces2/stable,now 4:6.3.5-1 amd64 [installed,automatic]
libksysguardsensors2/stable,now 4:6.3.5-1 amd64 [installed,automatic]
libksysguardsystemstats2/stable,now 4:6.3.5-1 amd64 [installed,automatic]
libktextaddons-data/stable,now 1.5.4-4 all [installed,automatic]
libktnef-data/stable,now 4:24.12.3-1 all [installed,automatic]
libkwaylandclient6/stable,now 4:6.3.4-1 amd64 [installed,automatic]
libkwin6/stable,now 4:6.3.6-1 amd64 [installed,automatic]
libkworkspace6-6/stable,now 4:6.3.6-2 amd64 [installed,automatic]
liblab-gamut1/stable,now 2.42.4-3 amd64 [installed,automatic]
liblapack3/stable,now 3.12.1-6 amd64 [installed,automatic]
liblastlog2-2/stable,now 2.41-5 amd64 [installed]
liblayershellqtinterface6/stable,now 6.3.4-1 amd64 [installed,automatic]
liblc3-1/stable,now 1.1.3+dfsg-1 amd64 [installed,automatic]
liblcms2-2/stable,now 2.16-2 amd64 [installed,automatic]
libldacbt-abr2/stable,now 2.0.2.3+git20200429+ed310a0-5 amd64 [installed,automatic]
libldacbt-enc2/stable,now 2.0.2.3+git20200429+ed310a0-5 amd64 [installed,automatic]
libldap-common/stable,now 2.6.10+dfsg-1 all [installed,automatic]
libldap2/stable,now 2.6.10+dfsg-1 amd64 [installed,automatic]
libldb2/stable,now 2:2.11.0+samba4.22.6+dfsg-0+deb13u1 amd64 [installed,automatic]
liblerc4/stable,now 4.0.0+ds-5 amd64 [installed,automatic]
libliftoff0/stable,now 0.5.0-1.1 amd64 [installed,automatic]
liblilv-0-0/stable,now 0.24.26-1 amd64 [installed,automatic]
liblirc-client0t64/stable,now 0.10.2-0.10 amd64 [installed,automatic]
libllvm19/stable,now 1:19.1.7-3+b1 amd64 [installed,automatic]
libllvmspirvlib19.1/stable,now 19.1.6-1 amd64 [installed,automatic]
liblmdb0/stable,now 0.9.31-1+b2 amd64 [installed,automatic]
liblocale-gettext-perl/stable,now 1.07-7+b1 amd64 [installed]
liblqr-1-0/stable,now 0.4.2-2.1+b2 amd64 [installed,automatic]
liblsan0/stable,now 14.2.0-19 amd64 [installed,automatic]
libltdl7/stable,now 2.5.4-4 amd64 [installed,automatic]
liblua5.2-0/stable,now 5.2.4-3+b3 amd64 [installed,automatic]
liblua5.4-0/stable,now 5.4.7-1+b2 amd64 [installed,automatic]
liblwp-mediatypes-perl/stable,now 6.04-2 all [installed,automatic]
liblwp-protocol-https-perl/stable,now 6.14-1 all [installed,automatic]
liblz4-1/stable,now 1.10.0-4 amd64 [installed]
liblzma5/stable,now 5.8.1-1 amd64 [installed]
liblzo2-2/stable,now 2.10-3+b1 amd64 [installed,automatic]
libmad0/stable,now 0.15.1b-11+b1 amd64 [installed,automatic]
libmagic-mgc/stable,now 1:5.46-5 amd64 [installed,automatic]
libmagic1t64/stable,now 1:5.46-5 amd64 [installed,automatic]
libmagickcore-7.q16-10-extra/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 amd64 [installed,automatic]
libmagickcore-7.q16-10/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 amd64 [installed,automatic]
libmagickwand-7.q16-10/stable-security,now 8:7.1.1.43+dfsg1-1+deb13u5 amd64 [installed,automatic]
libmailcommon-data/stable,now 4:24.12.3-1 all [installed,automatic]
libmailimporter-data/stable,now 4:24.12.3-1 all [installed,automatic]
libmailtools-perl/stable,now 2.22-1 all [installed,automatic]
libmarkdown2/stable,now 2.2.7-2.1 amd64 [installed,automatic]
libmatroska7/stable,now 1.7.1-1+b2 amd64 [installed,automatic]
libmbedcrypto16/stable,now 3.6.5-0.1~deb13u1 amd64 [installed,automatic]
libmbedtls21/stable,now 3.6.5-0.1~deb13u1 amd64 [installed,automatic]
libmbedx509-7/stable,now 3.6.5-0.1~deb13u1 amd64 [installed,automatic]
libmbim-glib4/stable,now 1.32.0-1 amd64 [installed,automatic]
libmbim-proxy/stable,now 1.32.0-1 amd64 [installed,automatic]
libmbim-utils/stable,now 1.32.0-1 amd64 [installed,automatic]
libmd0/stable,now 1.1.0-2+b1 amd64 [installed]
libmd4c0/stable,now 0.5.2-2+b1 amd64 [installed,automatic]
libminizip1t64/stable,now 1:1.3.dfsg+really1.3.1-1+b1 amd64 [installed,automatic]
libmm-glib0/stable,now 1.24.0-1+deb13u1 amd64 [installed,automatic]
libmng1/stable,now 1.0.10+dfsg-3.1+b6 amd64 [installed,automatic]
libmnl0/stable,now 1.0.5-3 amd64 [installed]
libmount1/stable,now 2.41-5 amd64 [installed]
libmp3lame0/stable,now 3.100-6+b3 amd64 [installed,automatic]
libmpc3/stable,now 1.3.1-1+b3 amd64 [installed,automatic]
libmpcdec6/stable,now 2:0.1~r495-3 amd64 [installed,automatic]
libmpfr6/stable,now 4.2.2-1 amd64 [installed,automatic]
libmpg123-0t64/stable,now 1.32.10-1 amd64 [installed,automatic]
libmtdev1t64/stable,now 1.1.7-1 amd64 [installed,automatic]
libmtp-common/stable,now 1.1.22-1 all [installed,automatic]
libmtp-runtime/stable,now 1.1.22-1 amd64 [installed,automatic]
libmtp9t64/stable,now 1.1.22-1 amd64 [installed,automatic]
libmysofa1/stable,now 1.3.3+dfsg-1 amd64 [installed,automatic]
libncurses6/stable,now 6.5+20250216-2 amd64 [installed,automatic]
libncursesw6/stable,now 6.5+20250216-2 amd64 [installed]
libndp0/stable,now 1.9-1+b1 amd64 [installed,automatic]
libnet-dbus-perl/stable,now 1.2.0-2+b3 amd64 [installed,automatic]
libnet-http-perl/stable,now 6.23-1 all [installed,automatic]
libnet-smtp-ssl-perl/stable,now 1.04-2 all [installed,automatic]
libnet-ssleay-perl/stable,now 1.94-3 amd64 [installed,automatic]
libnetfilter-conntrack3/stable,now 1.1.0-1 amd64 [installed,automatic]
libnetpbm11t64/stable,now 2:11.10.02-1 amd64 [installed,automatic]
libnettle8t64/stable,now 3.10.1-1 amd64 [installed]
libnewt0.52/stable,now 0.52.25-1 amd64 [installed]
libnfnetlink0/stable,now 1.0.2-3 amd64 [installed,automatic]
libnfs14/stable,now 5.0.2-1+b2 amd64 [installed,automatic]
libnftables1/stable,now 1.1.3-1 amd64 [installed]
libnftnl11/stable,now 1.2.9-1 amd64 [installed]
libnghttp2-14/stable,now 1.64.0-1.1 amd64 [installed,automatic]
libnghttp3-9/stable,now 1.8.0-1 amd64 [installed,automatic]
libngtcp2-16/stable,now 1.11.0-1 amd64 [installed,automatic]
libngtcp2-crypto-gnutls8/stable,now 1.11.0-1 amd64 [installed,automatic]
libnl-3-200/stable,now 3.7.0-2 amd64 [installed,automatic]
libnl-genl-3-200/stable,now 3.7.0-2 amd64 [installed,automatic]
libnl-route-3-200/stable,now 3.7.0-2 amd64 [installed,automatic]
libnm0/stable,now 1.52.1-1 amd64 [installed,automatic]
libnorm1t64/stable,now 1.5.9+dfsg-3.1+b2 amd64 [installed,automatic]
libnotificationmanager1/stable,now 4:6.3.6-2 amd64 [installed,automatic]
libnpth0t64/stable,now 1.8-3 amd64 [installed,automatic]
libnspr4/stable,now 2:4.36-1 amd64 [installed,automatic]
libnss3/stable,now 2:3.110-1 amd64 [installed,automatic]
libntfs-3g89t64/stable,now 1:2022.10.3-5 amd64 [installed,automatic]
libnuma1/stable,now 2.0.19-1 amd64 [installed,automatic]
libnvme1t64/stable,now 1.13-2 amd64 [installed,automatic]
libobjc4/stable,now 14.2.0-19 amd64 [installed,automatic]
libogg0/stable,now 1.3.5-3+b2 amd64 [installed,automatic]
libokular6core3/stable,now 4:25.04.2-1 amd64 [installed,automatic]
libonig5/stable,now 6.9.9-1+b1 amd64 [installed,automatic]
libopenconnect5/stable,now 9.12-3+deb13u2 amd64 [installed,automatic]
libopencore-amrnb0/stable,now 0.1.6-1+b2 amd64 [installed,automatic]
libopencore-amrwb0/stable,now 0.1.6-1+b2 amd64 [installed,automatic]
libopencv-core410/stable,now 4.10.0+dfsg-5 amd64 [installed,automatic]
libopencv-imgproc410/stable,now 4.10.0+dfsg-5 amd64 [installed,automatic]
libopenexr-3-1-30/stable,now 3.1.13-2 amd64 [installed,automatic]
libopenfec1/stable,now 1.4.2.11+dfsg-1 amd64 [installed,automatic]
libopengl0/stable,now 1.7.0-1+b2 amd64 [installed,automatic]
libopenjp2-7/stable,now 2.5.3-2.1~deb13u1 amd64 [installed,automatic]
libopenmpt-modplug1/stable,now 0.8.9.0-openmpt1-2+b3 amd64 [installed,automatic]
libopenmpt0t64/stable,now 0.7.13-1+b1 amd64 [installed,automatic]
libopus0/stable,now 1.5.2-2 amd64 [installed,automatic]
liborc-0.4-0t64/stable,now 1:0.4.41-1 amd64 [installed,automatic]
libp11-kit0/stable,now 0.25.5-3 amd64 [installed,automatic]
libpackagekit-glib2-18/stable,now 1.3.1-1 amd64 [installed,automatic]
libpackagekitqt6-1/stable,now 1.1.2-1+b1 amd64 [installed,automatic]
libpam-fprintd/stable,now 1.94.5-2 amd64 [installed,automatic]
libpam-gnome-keyring/stable,now 48.0-1 amd64 [installed,automatic]
libpam-kwallet-common/stable,now 6.3.4-1 all [installed,automatic]
libpam-kwallet5/stable,now 6.3.4-1 amd64 [installed,automatic]
libpam-modules-bin/stable,now 1.7.0-5 amd64 [installed]
libpam-modules/stable,now 1.7.0-5 amd64 [installed]
libpam-runtime/stable,now 1.7.0-5 all [installed]
libpam-systemd/stable,now 257.9-1~deb13u1 amd64 [installed,automatic]
libpam0g/stable,now 1.7.0-5 amd64 [installed]
libpango-1.0-0/stable,now 1.56.3-1 amd64 [installed,automatic]
libpangocairo-1.0-0/stable,now 1.56.3-1 amd64 [installed,automatic]
libpangoft2-1.0-0/stable,now 1.56.3-1 amd64 [installed,automatic]
libpangoxft-1.0-0/stable,now 1.56.3-1 amd64 [installed,automatic]
libpaper-utils/stable,now 2.2.5-0.3+b2 amd64 [installed,automatic]
libpaper2/stable,now 2.2.5-0.3+b2 amd64 [installed,automatic]
libparted2t64/stable,now 3.6-5 amd64 [installed,automatic]
libpathplan4/stable,now 2.42.4-3 amd64 [installed,automatic]
libpcap0.8t64/stable,now 1.10.5-2 amd64 [installed,automatic]
libpci3/stable,now 1:3.13.0-2 amd64 [installed,automatic]
libpciaccess-dev/stable,now 0.17-3+b3 amd64 [installed,automatic]
libpciaccess0/stable,now 0.17-3+b3 amd64 [installed,automatic]
libpcre2-16-0/stable,now 10.46-1~deb13u1 amd64 [installed,automatic]
libpcre2-8-0/stable,now 10.46-1~deb13u1 amd64 [installed]
libpcsclite1/stable,now 2.3.3-1 amd64 [installed,automatic]
libperl5.40/stable,now 5.40.1-6 amd64 [installed,automatic]
libpgm-5.3-0t64/stable,now 5.3.128~dfsg-2.1+b1 amd64 [installed,automatic]
libphonenumber8/stable,now 8.13.51+ds-4.2 amd64 [installed,automatic]
